,yearID,teamID,R_per_game,HR_per_game,W_percentage,BB_per_game,SB_per_game
216,1971,HOU,3.611111111,0.438271605,0.487654321,2.950617284,0.62345679
217,1971,KCA,3.745341615,0.49689441,0.527950311,3.043478261,0.807453416
218,1971,LAN,4.092592593,0.586419753,0.549382716,3.018518519,0.469135802
219,1971,MIN,4.0875,0.725,0.4625,3.2,0.4125
220,1971,ML4,3.316770186,0.645962733,0.428571429,3.372670807,0.50931677
221,1971,MON,3.839506173,0.543209877,0.438271605,3.351851852,0.314814815
222,1971,NYA,4,0.598765432,0.50617284,3.586419753,0.462962963
223,1971,NYN,3.62962963,0.604938272,0.512345679,3.37654321,0.549382716
224,1971,OAK,4.291925466,0.99378882,0.627329193,3.366459627,0.49689441
225,1971,PHI,3.444444444,0.759259259,0.413580247,3.080246914,0.388888889
226,1971,PIT,4.864197531,0.950617284,0.598765432,2.895061728,0.401234568
227,1971,SDN,3.01863354,0.596273292,0.378881988,2.720496894,0.434782609
228,1971,SFN,4.358024691,0.864197531,0.555555556,4.037037037,0.62345679
229,1971,SLN,4.533742331,0.582822086,0.552147239,3.331288344,0.760736196
230,1971,WS2,3.377358491,0.540880503,0.396226415,3.616352201,0.427672956
231,1972,ATL,4.051612903,0.929032258,0.451612903,3.432258065,0.303225806
232,1972,BAL,3.37012987,0.649350649,0.519480519,3.292207792,0.506493506
233,1972,BOS,4.129032258,0.8,0.548387097,3.367741935,0.425806452
234,1972,CAL,2.929032258,0.503225806,0.483870968,2.309677419,0.367741935
235,1972,CHA,3.675324675,0.701298701,0.564935065,3.318181818,0.649350649
236,1972,CHN,4.391025641,0.852564103,0.544871795,3.621794872,0.442307692
237,1972,CIN,4.590909091,0.805194805,0.616883117,3.935064935,0.909090909
238,1972,CLE,3.025641026,0.583333333,0.461538462,2.692307692,0.314102564
239,1972,DET,3.576923077,0.782051282,0.551282051,3.096153846,0.108974359
240,1972,HOU,4.62745098,0.875816993,0.549019608,3.424836601,0.725490196
241,1972,KCA,3.766233766,0.506493506,0.493506494,3.467532468,0.551948052
242,1972,LAN,3.767741935,0.632258065,0.548387097,3.096774194,0.529032258
243,1972,MIN,3.487012987,0.603896104,0.5,3.103896104,0.344155844
244,1972,ML4,3.16025641,0.564102564,0.416666667,3.025641026,0.41025641
245,1972,MON,3.288461538,0.583333333,0.448717949,3.038461538,0.435897436
246,1972,NYA,3.593548387,0.664516129,0.509677419,3.167741935,0.458064516
247,1972,NYN,3.384615385,0.673076923,0.532051282,3.775641026,0.262820513
248,1972,OAK,3.896774194,0.864516129,0.6,2.987096774,0.561290323
249,1972,PHI,3.224358974,0.628205128,0.378205128,3.121794872,0.269230769
250,1972,PIT,4.458064516,0.709677419,0.619354839,2.606451613,0.316129032
251,1972,SDN,3.189542484,0.666666667,0.379084967,2.660130719,0.509803922
252,1972,SFN,4.270967742,0.967741935,0.44516129,3.096774194,0.793548387
253,1972,SLN,3.641025641,0.448717949,0.480769231,2.801282051,0.666666667
254,1972,TEX,2.993506494,0.363636364,0.350649351,3.266233766,0.818181818
255,1973,ATL,4.932098765,1.271604938,0.469135802,3.75308642,0.518518519
256,1973,BAL,4.654320988,0.734567901,0.598765432,4,0.901234568
257,1973,BOS,4.555555556,0.907407407,0.549382716,3.586419753,0.703703704
258,1973,CAL,3.882716049,0.574074074,0.487654321,3.141975309,0.364197531
259,1973,CHA,4.024691358,0.685185185,0.475308642,3.314814815,0.512345679
260,1973,CHN,3.813664596,0.726708075,0.47826087,3.571428571,0.403726708
261,1973,CIN,4.574074074,0.845679012,0.611111111,3.944444444,0.913580247
262,1973,CLE,4.197530864,0.975308642,0.438271605,2.907407407,0.37037037
263,1973,DET,3.962962963,0.969135802,0.524691358,3.141975309,0.172839506
264,1973,HOU,4.203703704,0.827160494,0.50617284,2.895061728,0.567901235
265,1973,KCA,4.660493827,0.703703704,0.543209877,3.975308642,0.648148148
266,1973,LAN,4.166666667,0.679012346,0.586419753,3.067901235,0.672839506
267,1973,MIN,4.555555556,0.740740741,0.5,3.691358025,0.537037037
268,1973,ML4,4.37037037,0.895061728,0.456790123,3.475308642,0.679012346
269,1973,MON,4.12345679,0.771604938,0.487654321,4.290123457,0.475308642
270,1973,NYA,3.956790123,0.808641975,0.49382716,3.018518519,0.290123457
271,1973,NYN,3.776397516,0.527950311,0.50931677,3.354037267,0.167701863
272,1973,OAK,4.679012346,0.907407407,0.580246914,3.672839506,0.790123457
273,1973,PHI,3.962962963,0.827160494,0.438271605,2.938271605,0.314814815
274,1973,PIT,4.345679012,0.950617284,0.49382716,2.666666667,0.141975309
275,1973,SDN,3.382716049,0.691358025,0.37037037,2.475308642,0.543209877
276,1973,SFN,4.561728395,0.99382716,0.543209877,3.641975309,0.691358025
277,1973,SLN,3.969135802,0.462962963,0.5,3.277777778,0.617283951
278,1973,TEX,3.820987654,0.679012346,0.351851852,3.104938272,0.561728395
279,1974,ATL,4.055214724,0.736196319,0.539877301,3.503067485,0.441717791
280,1974,BAL,4.067901235,0.716049383,0.561728395,3.141975309,0.895061728
281,1974,BOS,4.296296296,0.672839506,0.518518519,3.512345679,0.641975309
282,1974,CAL,3.791411043,0.582822086,0.417177914,3.122699387,0.73006135
283,1974,CHA,4.196319018,0.828220859,0.490797546,3.18404908,0.392638037
284,1974,CHN,4.12962963,0.679012346,0.407407407,3.833333333,0.481481481
285,1974,CIN,4.760736196,0.828220859,0.601226994,4.251533742,0.895705521
286,1974,CLE,4.086419753,0.808641975,0.475308642,2.666666667,0.487654321
287,1974,DET,3.827160494,0.808641975,0.444444444,2.691358025,0.413580247
288,1974,HOU,4.030864198,0.679012346,0.5,2.907407407,0.666666667
289,1974,KCA,4.117283951,0.549382716,0.475308642,3.395061728,0.901234568
290,1974,LAN,4.925925926,0.858024691,0.62962963,3.685185185,0.919753086
291,1974,MIN,4.128834356,0.680981595,0.503067485,3.190184049,0.45398773
292,1974,ML4,3.99382716,0.740740741,0.469135802,3.086419753,0.654320988
293,1974,MON,4.111801242,0.534161491,0.49068323,4.049689441,0.770186335
294,1974,NYA,4.141975309,0.62345679,0.549382716,3.179012346,0.327160494
295,1974,NYN,3.530864198,0.592592593,0.438271605,3.685185185,0.265432099
296,1974,OAK,4.25308642,0.814814815,0.555555556,3.50617284,1.012345679
297,1974,PHI,4.172839506,0.586419753,0.49382716,2.895061728,0.709876543
298,1974,PIT,4.635802469,0.703703704,0.543209877,3.172839506,0.339506173
299,1974,SDN,3.339506173,0.611111111,0.37037037,3.481481481,0.524691358
300,1974,SFN,3.913580247,0.574074074,0.444444444,3.382716049,0.660493827
301,1974,SLN,4.204968944,0.51552795,0.534161491,3.298136646,1.068322981
302,1974,TEX,4.285714286,0.614906832,0.52173913,3.155279503,0.701863354
303,1975,ATL,3.621118012,0.664596273,0.416149068,3.372670807,0.341614907
304,1975,BAL,4.289308176,0.779874214,0.566037736,3.647798742,0.65408805
305,1975,BOS,4.975,0.8375,0.59375,3.53125,0.4125
306,1975,CAL,3.900621118,0.341614907,0.447204969,3.683229814,1.366459627
307,1975,CHA,4.068322981,0.583850932,0.465838509,3.795031056,0.627329193
